year,unitid,inst_name,state_abbr,years_after_entry,earnings_mean,earnings_sd,earnings_greater_than_25k_pct,earnings_med,earnings_pct10,earnings_pct25,earnings_pct75,earnings_pct90,earnings_lowinc_mean,earnings_midinc_mean,earnings_highinc_mean,earnings_dep_lowinc_mean,earnings_dep_mean,earnings_ind_mean,earnings_female_mean,earnings_male_mean
"2014","457527","Ambria College of Nursing","IL","10","Suppressed data","Suppressed data","","Suppressed data","","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","457527","Ambria College of Nursing","IL","8","Suppressed data","Suppressed data","","Suppressed data","","Suppressed data","Suppressed data","","","","","","","","",""
"2014","457527","Ambria College of Nursing","IL","6","Suppressed data","Suppressed data","","Suppressed data","","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","142887","American Academy of Art","IL","10","35600","30900","","31100","","19300","44400","","24600","33300","43200","","Suppressed data","Suppressed data","28700","38800"
"2014","142887","American Academy of Art","IL","8","30000","19000","","26000","","16900","39700","","","","","","","","",""
"2014","142887","American Academy of Art","IL","6","27700","20000","","23300","","14500","36400","","Suppressed data","Suppressed data","29200","","Suppressed data","Suppressed data","26600","28400"
"2014","445027","American InterContinental University-Online","IL","10","45200","39600","","37300","","19400","60000","","33700","47700","67200","","36300","47100","37400","56200"
"2014","445027","American InterContinental University-Online","IL","8","38400","32800","","31900","","16600","50700","","","","","","","","",""
"2014","445027","American InterContinental University-Online","IL","6","33200","28100","","27700","","14300","43900","","24600","37900","54400","","26100","34200","28500","42100"
"2014","145770","Argosy University-Chicago","IL","10","45700","34300","","41400","","24400","60300","","43800","44400","50500","","41200","47700","43100","55200"
"2014","145770","Argosy University-Chicago","IL","8","40800","29400","","37200","","23000","52900","","","","","","","","",""
"2014","145770","Argosy University-Chicago","IL","6","34100","26000","","30300","","15600","46300","","28000","37400","46100","","32100","34700","32500","39400"
"2014","420866","Argosy University-Schaumburg","IL","10","45700","34300","","41400","","24400","60300","","43800","44400","50500","","41200","47700","43100","55200"
"2014","420866","Argosy University-Schaumburg","IL","8","40800","29400","","37200","","23000","52900","","","","","","","","",""
"2014","420866","Argosy University-Schaumburg","IL","6","34100","26000","","30300","","15600","46300","","28000","37400","46100","","32100","34700","32500","39400"
"2014","143084","Augustana College","IL","10","56400","32200","","52000","","36300","71800","","56600","56500","56300","","Suppressed data","Suppressed data","52400","61500"
"2014","143084","Augustana College","IL","8","48800","28600","","45600","","32100","60900","","","","","","","","",""
"2014","143084","Augustana College","IL","6","41100","21500","","39700","","28300","51800","","36600","39700","42100","","Suppressed data","Suppressed data","38900","43800"
"2014","143118","Aurora University","IL","10","46200","28400","","42700","","27800","59800","","39000","47400","49400","","47000","44000","41900","54000"
"2014","143118","Aurora University","IL","8","43900","29700","","40500","","28100","55500","","","","","","","","",""
"2014","143118","Aurora University","IL","6","39200","24600","","37600","","26100","50200","","37200","38800","40600","","37100","44200","37900","41500"
"2014","145619","Benedictine University","IL","10","56400","45900","","49000","","30100","71900","","52400","51600","63200","","57800","54200","50300","66500"
"2014","145619","Benedictine University","IL","8","50400","33600","","46500","","28600","65900","","","","","","","","",""
"2014","145619","Benedictine University","IL","6","43700","29600","","40000","","23500","57400","","35500","44500","48500","","39900","48600","40900","47900"
"2014","143288","Blackburn College","IL","10","41700","26700","","37400","","25100","51100","","36300","42300","44400","","Suppressed data","Suppressed data","35100","48200"
"2014","143288","Blackburn College","IL","8","35700","19500","","33300","","23800","46100","","","","","","","","",""
"2014","143288","Blackburn College","IL","6","29600","16200","","28200","","18400","39000","","26200","31400","31900","","Suppressed data","Suppressed data","25700","34300"
"2014","143297","Blessing Rieman College of Nursing","IL","10","51000","27900","","48200","","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","143297","Blessing Rieman College of Nursing","IL","8","51700","21400","","50800","","Suppressed data","Suppressed data","","","","","","","","",""
"2014","143297","Blessing Rieman College of Nursing","IL","6","48800","21600","","49000","","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","143358","Bradley University","IL","10","58300","34300","","53600","","35500","77300","","51500","58400","60000","","59500","47600","50200","68500"
"2014","143358","Bradley University","IL","8","50600","28500","","46900","","31400","66800","","","","","","","","",""
"2014","143358","Bradley University","IL","6","45900","24100","","42900","","29900","60600","","41000","44700","47600","","45700","48600","41200","51400"
"2014","454227","Chamberlain College of NursingAddison Campus","IL","10","60400","33500","","58400","","37100","77900","","46100","63700","67200","","47700","63300","Suppressed data","Suppressed data"
"2014","454227","Chamberlain College of NursingAddison Campus","IL","8","72100","40700","","68500","","48000","91400","","","","","","","","",""
"2014","454227","Chamberlain College of NursingAddison Campus","IL","6","69800","34800","","67100","","49100","87100","","56000","65700","77000","","54100","72100","68700","81100"
"2014","144005","Chicago State University","IL","10","38200","26200","","33800","","18500","51900","","35000","42400","48400","","36800","39100","35800","44400"
"2014","144005","Chicago State University","IL","8","34700","24200","","30800","","16600","46800","","","","","","","","",""
"2014","144005","Chicago State University","IL","6","32200","22800","","29400","","15300","44000","","30400","34600","37100","","28200","35600","30700","35200"
"2014","260947","Christian Life College","IL","10","Suppressed data","Suppressed data","","Suppressed data","","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","260947","Christian Life College","IL","8","Suppressed data","Suppressed data","","Suppressed data","","Suppressed data","Suppressed data","","","","","","","","",""
"2014","260947","Christian Life College","IL","6","Suppressed data","Suppressed data","","Suppressed data","","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","144281","Columbia College-Chicago","IL","10","39200","29900","","34400","","18400","52500","","34800","40500","41500","","38800","40700","37000","41400"
"2014","144281","Columbia College-Chicago","IL","8","34900","24100","","32000","","17600","47200","","","","","","","","",""
"2014","144281","Columbia College-Chicago","IL","6","29500","20500","","26900","","15200","39800","","27000","29700","30800","","29100","32200","29600","29400"
"2014","144351","Concordia University-Chicago","IL","10","42700","23600","","39700","","26900","55800","","39100","44000","43200","","42000","45400","37800","49300"
"2014","144351","Concordia University-Chicago","IL","8","39100","25600","","35900","","23900","52200","","","","","","","","",""
"2014","144351","Concordia University-Chicago","IL","6","38700","23200","","35900","","22800","49500","","33600","39800","40400","","34300","51500","37600","40500"
