year,unitid,inst_name,state_abbr,inst_control,institution_level
"2016","172866","Academy College","MN","Private for-profit","Four or more years"
"2016","374024","Adler Graduate School","MN","Private not-for-profit","Four or more years"
"2016","446002","American Academy of Acupuncture and Oriental Medicine","MN","Private for-profit","Four or more years"
"2016","173984","Argosy University-Twin Cities","MN","Private for-profit","Four or more years"
"2016","173045","Augsburg College","MN","Private not-for-profit","Four or more years"
"2016","173124","Bemidji State University","MN","Public","Four or more years"
"2016","486284","Bethany Global University","MN","Private not-for-profit","Four or more years"
"2016","173142","Bethany Lutheran College","MN","Private not-for-profit","Four or more years"
"2016","173179","Bethel Seminary-St Paul","MN","Private not-for-profit","Four or more years"
"2016","173160","Bethel University","MN","Private not-for-profit","Four or more years"
"2016","486053","Bethlehem College & Seminary","MN","Private not-for-profit","Four or more years"
"2016","413413","Capella University","MN","Private for-profit","Four or more years"
"2016","173258","Carleton College","MN","Private not-for-profit","Four or more years"
"2016","174747","College of Saint Benedict","MN","Private not-for-profit","Four or more years"
"2016","173300","Concordia College at Moorhead","MN","Private not-for-profit","Four or more years"
"2016","173328","Concordia University-Saint Paul","MN","Private not-for-profit","Four or more years"
"2016","174206","Crossroads College","MN","Private not-for-profit","Four or more years"
"2016","174862","Crown College","MN","Private not-for-profit","Four or more years"
"2016","482529","DeVry University-Minnesota","MN","Private for-profit","Four or more years"
"2016","173489","Duluth Business University","MN","Private for-profit","Four or more years"
"2016","175227","Dunwoody College of Technology","MN","Private not-for-profit","Four or more years"
"2016","456834","Globe University-Minneapolis","MN","Private for-profit","Four or more years"
"2016","173629","Globe University-Woodbury","MN","Private for-profit","Four or more years"
"2016","173647","Gustavus Adolphus College","MN","Private not-for-profit","Four or more years"
"2016","173665","Hamline University","MN","Private not-for-profit","Four or more years"
"2016","173683","Hazelden Betty Ford Graduate School of Addiction Studies","MN","Private not-for-profit","Four or more years"
"2016","174154","Herzing University-Minneapolis","MN","Private for-profit","Four or more years"
"2016","454616","Institute of Production and Recording","MN","Private for-profit","Four or more years"
"2016","470870","ITT Technical Institute-Brooklyn Center","MN","Private for-profit","Four or more years"
"2016","445081","ITT Technical Institute-Eden Prairie","MN","Private for-profit","Four or more years"
"2016","173896","Luther Seminary","MN","Private not-for-profit","Four or more years"
"2016","173902","Macalester College","MN","Private not-for-profit","Four or more years"
"2016","173452","Martin Luther College","MN","Private not-for-profit","Four or more years"
"2016","365426","Mayo Clinic Graduate School of Biomedical Sciences","MN","Private not-for-profit","Four or more years"
"2016","173966","Mayo Clinic School of Health Sciences","MN","Private not-for-profit","Four or more years"
"2016","173957","Mayo Clinic School of Medicine","MN","Private not-for-profit","Four or more years"
"2016","367194","McNally Smith College of Music","MN","Private for-profit","Four or more years"
"2016","174020","Metropolitan State University","MN","Public","Four or more years"
"2016","174127","Minneapolis College of Art and Design","MN","Private not-for-profit","Four or more years"
"2016","474881","Minneapolis Media Institute","MN","Private for-profit","Four or more years"
"2016","451769","Minnesota School of Business-Blaine","MN","Private for-profit","Four or more years"
"2016","407285","Minnesota School of Business-Brooklyn Center","MN","Private for-profit","Four or more years"
"2016","456782","Minnesota School of Business-Elk River","MN","Private for-profit","Four or more years"
"2016","458742","Minnesota School of Business-Lakeville","MN","Private for-profit","Four or more years"
"2016","455585","Minnesota School of Business-Moorhead","MN","Private for-profit","Four or more years"
"2016","442578","Minnesota School of Business-Plymouth","MN","Private for-profit","Four or more years"
"2016","174279","Minnesota School of Business-Richfield","MN","Private for-profit","Four or more years"
"2016","447670","Minnesota School of Business-Rochester","MN","Private for-profit","Four or more years"
"2016","445920","Minnesota School of Business-Waite Park","MN","Private for-profit","Four or more years"
"2016","174358","Minnesota State University Moorhead","MN","Public","Four or more years"
"2016","173920","Minnesota State University-Mankato","MN","Public","Four or more years"
"2016","175281","Mitchell Hamline School of Law","MN","Private not-for-profit","Four or more years"
"2016","436483","National American University-Bloomington","MN","Private for-profit","Four or more years"
"2016","440767","National American University-Brooklyn Center","MN","Private for-profit","Four or more years"
"2016","478005","National American University-Burnsville","MN","Private for-profit","Four or more years"
"2016","482343","National American University-Rochester","MN","Private for-profit","Four or more years"
"2016","174385","National American University-Roseville","MN","Private for-profit","Four or more years"
"2016","174437","North Central University","MN","Private not-for-profit","Four or more years"
"2016","174507","Northwestern Health Sciences University","MN","Private not-for-profit","Four or more years"
"2016","174525","Oak Hills Christian College","MN","Private not-for-profit","Four or more years"
"2016","175014","Rasmussen College-Minnesota","MN","Private for-profit","Four or more years"
"2016","174783","Saint Cloud State University","MN","Public","Four or more years"
"2016","174792","Saint Johns University","MN","Private not-for-profit","Four or more years"
"2016","174817","Saint Mary's University of Minnesota","MN","Private not-for-profit","Four or more years"
"2016","475291","Sanford-Brown College-Brooklyn Center","MN","Private for-profit","Four or more years"
"2016","174394","Sanford-Brown College-Mendota Heights","MN","Private for-profit","Four or more years"
"2016","175078","Southwest Minnesota State University","MN","Public","Four or more years"
"2016","175005","St Catherine University","MN","Private not-for-profit","Four or more years"
"2016","174844","St Olaf College","MN","Private not-for-profit","Four or more years"
"2016","173887","The Art Institutes International-Minnesota","MN","Private for-profit","Four or more years"
"2016","174899","The College of Saint Scholastica","MN","Private not-for-profit","Four or more years"
"2016","175139","United Theological Seminary of the Twin Cities","MN","Private not-for-profit","Four or more years"
"2016","174075","University of Minnesota-Crookston","MN","Public","Four or more years"
"2016","174233","University of Minnesota-Duluth","MN","Public","Four or more years"
"2016","174251","University of Minnesota-Morris","MN","Public","Four or more years"
"2016","456959","University of Minnesota-Rochester","MN","Public","Four or more years"
"2016","174066","University of Minnesota-Twin Cities","MN","Public","Four or more years"
"2016","174491","University of Northwestern-St Paul","MN","Private not-for-profit","Four or more years"
"2016","445319","University of Phoenix-Minnesota","MN","Private for-profit","Four or more years"
"2016","174914","University of St Thomas","MN","Private not-for-profit","Four or more years"
"2016","125231","Walden University","MN","Private for-profit","Four or more years"
"2016","175272","Winona State University","MN","Public","Four or more years"
"2015","172866","Academy College","MN","Private for-profit","Four or more years"
"2015","374024","Adler Graduate School","MN","Private not-for-profit","Four or more years"
"2015","446002","American Academy of Acupuncture and Oriental Medicine","MN","Private for-profit","Four or more years"
"2015","173984","Argosy University-Twin Cities","MN","Private for-profit","Four or more years"
"2015","173045","Augsburg College","MN","Private not-for-profit","Four or more years"
"2015","173124","Bemidji State University","MN","Public","Four or more years"
"2015","486284","Bethany Global University","MN","Private not-for-profit","Four or more years"
"2015","173142","Bethany Lutheran College","MN","Private not-for-profit","Four or more years"
"2015","173179","Bethel Seminary-St Paul","MN","Private not-for-profit","Four or more years"
"2015","173160","Bethel University","MN","Private not-for-profit","Four or more years"
"2015","486053","Bethlehem College & Seminary","MN","Private not-for-profit","Four or more years"
"2015","413413","Capella University","MN","Private for-profit","Four or more years"
"2015","173258","Carleton College","MN","Private not-for-profit","Four or more years"
"2015","174747","College of Saint Benedict","MN","Private not-for-profit","Four or more years"
"2015","173300","Concordia College at Moorhead","MN","Private not-for-profit","Four or more years"
