year,unitid,inst_name,state_abbr,years_after_entry,earnings_mean,earnings_sd,earnings_greater_than_25k_pct,earnings_med,earnings_pct10,earnings_pct25,earnings_pct75,earnings_pct90,earnings_lowinc_mean,earnings_midinc_mean,earnings_highinc_mean,earnings_dep_lowinc_mean,earnings_dep_mean,earnings_ind_mean,earnings_female_mean,earnings_male_mean
"2014","168528","Adrian College","MI","10","42800","26800","","38600","","24800","54200","","36100","41200","46400","","Suppressed data","Suppressed data","34500","50100"
"2014","168528","Adrian College","MI","8","42100","26600","","38500","","24500","52900","","","","","","","","",""
"2014","168528","Adrian College","MI","6","34000","20700","","32100","","20400","43800","","31800","33600","35000","","Suppressed data","Suppressed data","29900","37600"
"2014","168546","Albion College","MI","10","55700","42400","","47400","","33700","66300","","50100","48200","61100","","Suppressed data","Suppressed data","47300","65600"
"2014","168546","Albion College","MI","8","47000","27000","","42500","","29600","59600","","","","","","","","",""
"2014","168546","Albion College","MI","6","37600","21700","","34900","","22500","48200","","31400","39300","38100","","Suppressed data","Suppressed data","34300","40700"
"2014","168591","Alma College","MI","10","46500","30400","","42200","","27500","59800","","38600","47000","48300","","Suppressed data","Suppressed data","42800","51900"
"2014","168591","Alma College","MI","8","41800","26400","","39000","","24500","51900","","","","","","","","",""
"2014","168591","Alma College","MI","6","36500","22800","","34000","","22000","46800","","33000","35600","38100","","Suppressed data","Suppressed data","32600","40600"
"2014","168607","Alpena Community College","MI","10","35900","27500","","31600","","16600","47900","","31400","40600","44500","","39300","30600","28600","43700"
"2014","168607","Alpena Community College","MI","8","31900","26000","","26300","","14000","42600","","","","","","","","",""
"2014","168607","Alpena Community College","MI","6","28600","21400","","24100","","13700","38900","","25100","31600","36300","","29500","27300","22000","35000"
"2014","168740","Andrews University","MI","10","47800","31300","","45200","","26200","63700","","45600","47100","50200","","48500","44600","43100","52900"
"2014","168740","Andrews University","MI","8","40600","24900","","39800","","21200","55200","","","","","","","","",""
"2014","168740","Andrews University","MI","6","35200","21400","","33300","","20000","49300","","30400","35300","39000","","35300","34900","34100","36700"
"2014","410256","Ann Arbor Institute of Massage Therapy","MI","10","Suppressed data","Suppressed data","","Suppressed data","","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","410256","Ann Arbor Institute of Massage Therapy","MI","8","27100","20300","","24600","","Suppressed data","Suppressed data","","","","","","","","",""
"2014","410256","Ann Arbor Institute of Massage Therapy","MI","6","22000","20400","","18200","","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","168786","Aquinas College","MI","10","42400","28400","","37300","","24900","54000","","33700","40400","47200","","44000","35300","39100","48100"
"2014","168786","Aquinas College","MI","8","36800","24200","","34000","","20800","48900","","","","","","","","",""
"2014","168786","Aquinas College","MI","6","32000","17800","","31000","","20400","40300","","29000","31600","33700","","32100","31700","30100","35500"
"2014","414708","Baker College Center for Graduate Studies","MI","10","31800","25300","","27200","","14200","43600","","25800","36100","40700","","30400","32700","28400","40200"
"2014","414708","Baker College Center for Graduate Studies","MI","8","30200","25500","","25800","","14000","40300","","","","","","","","",""
"2014","414708","Baker College Center for Graduate Studies","MI","6","27600","20600","","23800","","13000","37400","","22800","31800","35500","","24900","29000","25000","32600"
"2014","444167","Baker College of Allen Park","MI","10","31800","25300","","27200","","14200","43600","","25800","36100","40700","","30400","32700","28400","40200"
"2014","444167","Baker College of Allen Park","MI","8","30200","25500","","25800","","14000","40300","","","","","","","","",""
"2014","444167","Baker College of Allen Park","MI","6","27600","20600","","23800","","13000","37400","","22800","31800","35500","","24900","29000","25000","32600"
"2014","404073","Baker College of Auburn Hills","MI","10","31800","25300","","27200","","14200","43600","","25800","36100","40700","","30400","32700","28400","40200"
"2014","404073","Baker College of Auburn Hills","MI","8","30200","25500","","25800","","14000","40300","","","","","","","","",""
"2014","404073","Baker College of Auburn Hills","MI","6","27600","20600","","23800","","13000","37400","","22800","31800","35500","","24900","29000","25000","32600"
"2014","404648","Baker College of Cadillac","MI","10","31800","25300","","27200","","14200","43600","","25800","36100","40700","","30400","32700","28400","40200"
"2014","404648","Baker College of Cadillac","MI","8","30200","25500","","25800","","14000","40300","","","","","","","","",""
"2014","404648","Baker College of Cadillac","MI","6","27600","20600","","23800","","13000","37400","","22800","31800","35500","","24900","29000","25000","32600"
"2014","404082","Baker College of Clinton Township","MI","10","31800","25300","","27200","","14200","43600","","25800","36100","40700","","30400","32700","28400","40200"
"2014","404082","Baker College of Clinton Township","MI","8","30200","25500","","25800","","14000","40300","","","","","","","","",""
"2014","404082","Baker College of Clinton Township","MI","6","27600","20600","","23800","","13000","37400","","22800","31800","35500","","24900","29000","25000","32600"
"2014","168847","Baker College of Flint","MI","10","31800","25300","","27200","","14200","43600","","25800","36100","40700","","30400","32700","28400","40200"
"2014","168847","Baker College of Flint","MI","8","30200","25500","","25800","","14000","40300","","","","","","","","",""
"2014","168847","Baker College of Flint","MI","6","27600","20600","","23800","","13000","37400","","22800","31800","35500","","24900","29000","25000","32600"
"2014","414160","Baker College of Jackson","MI","10","31800","25300","","27200","","14200","43600","","25800","36100","40700","","30400","32700","28400","40200"
"2014","414160","Baker College of Jackson","MI","8","30200","25500","","25800","","14000","40300","","","","","","","","",""
"2014","414160","Baker College of Jackson","MI","6","27600","20600","","23800","","13000","37400","","22800","31800","35500","","24900","29000","25000","32600"
"2014","171298","Baker College of Muskegon","MI","10","31800","25300","","27200","","14200","43600","","25800","36100","40700","","30400","32700","28400","40200"
"2014","171298","Baker College of Muskegon","MI","8","30200","25500","","25800","","14000","40300","","","","","","","","",""
"2014","171298","Baker College of Muskegon","MI","6","27600","20600","","23800","","13000","37400","","22800","31800","35500","","24900","29000","25000","32600"
"2014","168838","Baker College of Owosso","MI","10","31800","25300","","27200","","14200","43600","","25800","36100","40700","","30400","32700","28400","40200"
"2014","168838","Baker College of Owosso","MI","8","30200","25500","","25800","","14000","40300","","","","","","","","",""
"2014","168838","Baker College of Owosso","MI","6","27600","20600","","23800","","13000","37400","","22800","31800","35500","","24900","29000","25000","32600"
"2014","381617","Baker College of Port Huron","MI","10","31800","25300","","27200","","14200","43600","","25800","36100","40700","","30400","32700","28400","40200"
"2014","381617","Baker College of Port Huron","MI","8","30200","25500","","25800","","14000","40300","","","","","","","","",""
"2014","381617","Baker College of Port Huron","MI","6","27600","20600","","23800","","13000","37400","","22800","31800","35500","","24900","29000","25000","32600"
"2014","168883","Bay de Noc Community College","MI","10","33400","24300","","29700","","16100","45500","","29800","36400","42500","","33200","33600","27900","41600"
"2014","168883","Bay de Noc Community College","MI","8","27600","21200","","24100","","12500","36600","","","","","","","","",""
"2014","168883","Bay de Noc Community College","MI","6","27100","19300","","24300","","13200","37000","","24700","29000","33000","","28100","25800","23500","32000"
"2014","380359","Bay Mills Community College","MI","10","24600","18300","","23200","","10200","33300","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","380359","Bay Mills Community College","MI","8","23900","17300","","23600","","8400","32400","","","","","","","","",""
"2014","380359","Bay Mills Community College","MI","6","22600","16800","","19600","","11900","28000","","Suppressed data","Suppressed data","Suppressed data","","21100","23200","21400","24600"
"2014","168892","Bayshire Academy of Beauty Craft Inc","MI","10","17200","13700","","13000","","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","168892","Bayshire Academy of Beauty Craft Inc","MI","8","18100","13900","","16800","","Suppressed data","Suppressed data","","","","","","","","",""
"2014","168892","Bayshire Academy of Beauty Craft Inc","MI","6","16000","11800","","14700","","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
